,品牌,名稱,頻率,記憶體類型,單支容量,雙通道,價格
0,,❤ XMP,,,,0,
1,,UMAX 單條8GB DDR5-4800/CL40 支援 XMP,4800,DDR5,8GB,0,619
2,,UMAX 單條16GB DDR5-4800/CL40 支援 XMP,4800,DDR5,16GB,0,1139
3,,UMAX 單條32GB DDR5-4800/CL40 支援 XMP,4800,DDR5,32GB,0,2199
4,,UMAX 單條8GB DDR5-5600/CL46【雙參數】,5600,DDR5,8GB,0,629
5,,UMAX 單條16GB DDR5-5600/CL46【雙參數】,5600,DDR5,16GB,0,1099
6,,UMAX 單條16GB DDR5-6000/CL30【雙參數】,6000,DDR5,16GB,0,1439
7,,UMAX 單條32GB DDR5-5600/CL46【雙參數】,5600,DDR5,32GB,0,2100
8,,UMAX 單條32GB DDR5-6000/CL30【雙參數】,6000,DDR5,32GB,0,2799
9,,❤ [官網活動] 買威剛/XPG商品可參加【APPLE Macbook Air、旅遊金$12,000,,,0,12000
10,威剛,威剛 單條8GB DDR5-4800/CL40,4800,DDR5,8GB,0,729
11,威剛,威剛 單條8GB DDR5-5600/CL46,5600,DDR5,8GB,0,829
12,威剛,威剛 單條16GB DDR5-4800/CL40,4800,DDR5,16GB,0,1199
13,威剛,威剛 單條16GB DDR5-5600/CL46,5600,DDR5,16GB,0,1299
14,威剛,威剛 單條 16GB DDR5 5600 XPG Lancer Blade,5600,DDR5,16GB,0,1299
15,威剛,威剛 單條 16GB DDR5 6000 XPG Lancer Blade,6000,DDR5,16GB,0,1349
16,威剛,威剛 單條32GB DDR5-4800/CL40,4800,DDR5,32GB,0,2299
17,威剛,威剛 單條32GB DDR5-5600/CL46,5600,DDR5,32GB,0,2499
18,金士頓,金士頓 單條16GB DDR5-5600/CL46 【雙參數】,5600,DDR5,16GB,0,1280
19,金士頓,金士頓 單條32GB DDR5-5600/CL46 【雙參數】,5600,DDR5,32GB,0,2480
20,金士頓,金士頓 單條16GB DDR5-5600,5600,DDR5,16GB,0,1350
21,金士頓,金士頓 單條16GB DDR5-6000,6000,DDR5,16GB,0,1700
22,KLEVV,KLEVV,5600,DDR5,16GB,0,1200
23,,❤ 【活動】買十銓全系列商品就送皮革卡套包,,,,0,
24,十銓,十銓ELITE 單條16GB DDR5 5600/CL46,5600,DDR5,16GB,0,1188
25,,❤ [官網活動] 買美光全系列登錄享星巴客飲料券 另可參加抽大獎【關島六日雙人遊】活動,,,,0,
26,美光,美光Micron Crucial 單條16GB DDR5 5600/CL46,5600,DDR5,16GB,0,1199
27,美光,美光Micron Crucial 單條32GB DDR5 5600/CL46,5600,DDR5,32GB,0,2399
28,美光,美光Micron Crucial 單條64GB DDR5 5600/CL46,5600,DDR5,64GB,0,4999
29,,UMAX 16GB,4800,DDR5,16GB,1,1350
30,,UMAX 32GB,4800,DDR5,32GB,1,2299
31,,UMAX 64GB,4800,DDR5,64GB,1,4399
32,,UMAX 16GB,5600,DDR5,16GB,1,1350
33,,UMAX 32GB,5600,DDR5,32GB,1,2299
34,,UMAX 32GB,6000,DDR5,32GB,1,2799
35,,UMAX 64GB,5600,DDR5,64GB,1,4399
36,,UMAX 64GB,6000,DDR5,64GB,1,5699
37,威剛,威剛 32GB,5600,DDR5,32GB,1,2598
38,威剛,威剛 32GB,5600,DDR5,32GB,1,2598
39,威剛,威剛 32GB,5600,DDR5,32GB,1,2899
40,威剛,威剛 32GB,5600,DDR5,32GB,1,2899
41,威剛,威剛 32GB,6000,DDR5,32GB,1,2699
42,威剛,威剛 32GB,6000,DDR5,32GB,1,2699
